iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
OMN,Asia,Oman,2021-06-27,262059.0,5517.0,2002.286,2967.0,119.0,36.714,51317.485,1080.362,392.096,581.01,23.303,7.19,1.33,,,,,,,,,,,,,,,,,,859000.0,666000.0,193000.0,,36165.0,16.82,13.04,3.78,7082.0,54.63,5106622.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,
PAK,Asia,Pakistan,2021-06-27,955657.0,914.0,926.0,22231.0,20.0,32.0,4326.348,4.138,4.192,100.642,0.091,0.145,0.8,,,,,,,,,45924.0,14325008.0,64.851,0.208,42667.0,0.193,0.022,46.0,tests performed,13484364.0,10833547.0,3566547.0,266959.0,248354.0,6.1,4.9,1.61,1124.0,56.48,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,
PSE,Asia,Palestine,2021-06-27,313721.0,201.0,149.714,3559.0,3.0,1.143,61496.847,39.401,29.348,697.649,0.588,0.224,0.72,,,,,,,,,2601.0,,,0.51,2445.0,0.479,0.04,25.1,tests performed,824170.0,482695.0,341475.0,1954.0,13882.0,16.16,9.46,6.69,2721.0,,5101416.0,778.202,20.4,3.043,1.726,4449.898,1.0,265.91,10.59,,,,,74.05,0.708,
PAN,North America,Panama,2021-06-27,400666.0,789.0,991.286,6524.0,10.0,7.0,92859.222,182.86,229.743,1512.016,2.318,1.622,1.15,,,,,,,,,14117.0,2908676.0,674.121,3.272,11557.0,2.678,0.078,12.8,tests performed,1469057.0,961168.0,507889.0,25010.0,14023.0,34.05,22.28,11.77,3250.0,61.11,4314768.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,
PNG,Oceania,Papua New Guinea,2021-06-27,17098.0,0.0,23.571,173.0,0.0,0.0,1911.026,0.0,2.635,19.336,0.0,0.0,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,8947027.0,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555,
PRY,South America,Paraguay,2021-06-27,418330.0,1487.0,1730.0,12517.0,152.0,126.286,58650.998,208.481,242.551,1754.917,21.311,17.706,0.79,,,,,,,,,7339.0,1487084.0,208.493,1.029,7458.0,1.046,0.234,4.3,tests performed,615602.0,485010.0,130592.0,1673.0,6754.0,8.63,6.8,1.83,947.0,49.07,7132530.0,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,
PER,South America,Peru,2021-06-27,2046057.0,2795.0,2761.143,191584.0,137.0,197.429,62054.669,84.769,83.742,5810.533,4.155,5.988,0.98,,,,,,,,,1610.0,4246577.0,128.794,0.049,8054.0,0.244,0.078,12.8,tests performed,7096557.0,4193911.0,2902646.0,49569.0,85062.0,21.52,12.72,8.8,2580.0,75.93,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,
PHL,Asia,Philippines,2021-06-27,1397992.0,6081.0,5568.143,24372.0,128.0,107.286,12757.603,55.493,50.813,222.411,1.168,0.979,0.9,,,,,,,,,50843.0,13737116.0,125.36,0.464,44610.0,0.407,0.126,7.9,people tested,10065414.0,7538128.0,2527286.0,184064.0,236867.0,9.19,6.88,2.31,2162.0,71.76,109581085.0,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1.0,71.23,0.718,
PCN,Oceania,Pitcairn,2021-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,47.0,,,0.0,100.0,100.0,,0.0,,47.0,,,,,,,,,,,,,,,
POL,Europe,Poland,2021-06-27,2879638.0,69.0,124.429,74979.0,5.0,21.571,76087.089,1.823,3.288,1981.129,0.132,0.57,0.55,,,1451.0,38.339,,,,,47622.0,16782161.0,443.426,1.258,47800.0,1.263,0.003,315.7,people tested,28447379.0,16681699.0,12682542.0,92669.0,278974.0,75.16,44.08,33.51,7371.0,53.7,37846605.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,
